,from,to,weight
0,5289,5290,172.2
0,5290,5291,280.2
0,5291,5292,770.3
0,5292,5293,271.1
0,5293,2510,447.6
0,2510,2511,340.3
0,2511,2512,364.5
0,2512,2513,414.4
0,2513,2514,516.6
0,2514,2515,554.6
0,2515,2516,623.4
0,2516,2518,392.1
0,2518,5199,629.6
0,5199,2519,448.6
0,2519,2520,399.0
0,2520,2521,344.9
0,2521,2522,809.8
0,2522,2523,319.0
0,2523,2524,410.5
0,2524,2022,416.3
0,2022,2023,441.1
0,2023,2525,485.3
0,2525,2526,334.6
0,2526,2527,297.7
0,2527,2528,170.6
0,2528,2529,300.6
0,2529,2530,219.5
0,2530,2531,296.9
0,2531,2532,275.1
0,2532,2533,138.7
0,2533,2534,145.8
0,2534,2535,296.2
0,2535,2536,191.6
0,2536,2537,144.4
0,2537,2538,298.3
0,2538,2540,276.8
0,2540,2541,207.6
0,2541,2542,230.6
0,2542,2543,239.0
0,2543,2544,197.9
0,2544,3209,414.2
0,3209,2546,474.2
0,2546,2547,160.9
0,2547,2548,374.7
0,2548,3215,230.1
0,3215,3216,193.7
0,3216,2549,214.4
0,2549,3217,198.6
0,3217,3219,360.8
0,3219,3221,201.6
0,3221,3223,247.3
0,3223,3225,233.3
0,3225,3227,307.9
0,3227,3228,233.5
0,3228,3230,414.7
0,3230,3231,182.9
0,3231,3232,198.6
0,3232,3233,296.0
0,3233,4207,304.7
0,4207,3241,332.3
0,3241,4908,923.2
0,4908,4010,431.7
0,4010,4012,434.6
0,4012,3912,404.7
0,3912,4015,437.4
0,4015,4201,405.5
0,4201,4017,408.2
0,4017,3914,408.8
0,3914,4041,637.3
0,4041,4763,154.2
0,5344,5345,174.6
0,5345,5346,176.3
0,5346,5347,205.4
0,5347,5348,220.5
0,5348,1178,201.3
0,1178,1179,447.0
0,1179,1180,231.8
0,1180,1181,167.2
0,1181,1182,301.9
0,1182,1183,211.6
0,1183,1184,610.2
0,1184,1185,255.3
0,1185,1187,395.6
0,1187,1188,213.6
0,1188,1189,329.7
0,1189,5883,429.5
0,5883,1191,768.5
0,1191,1192,377.3
0,1192,1193,315.9
0,1193,1194,412.1
0,1194,1195,315.3
0,1195,1196,493.5
0,1196,1198,458.0
0,1198,1199,425.6
0,1199,1200,371.1
0,1200,1201,391.3
0,1201,1203,453.9
0,1203,1205,519.2
0,1205,1208,694.3
0,1208,5958,812.5
0,5958,1568,230.7
0,1568,1569,267.6
0,1569,4912,764.9
0,4912,4213,291.8
0,4213,1571,232.5
0,1571,1572,248.0
0,1572,1573,402.8
0,1573,1574,147.3
0,1574,1575,243.2
0,1575,3733,226.5
0,3733,3734,272.8
0,3734,3735,327.4
0,3735,3724,458.6
0,3724,3725,220.6
0,3725,3726,328.5
0,3726,3736,197.0
0,3736,3663,482.7
0,3663,3877,493.1
0,3877,3878,188.0
0,3878,3822,278.5
0,3822,3830,282.7
0,3830,3831,176.0
0,3831,3832,231.4
0,3832,3847,340.5
0,3847,3849,307.6
0,3849,4002,400.7
0,4002,4087,213.2
0,4087,4003,337.0
0,4003,2969,437.8
0,2969,2970,228.6
0,2970,3890,263.3
0,3890,3891,310.2
0,3891,2971,188.1
0,2971,4881,240.0
0,4881,2972,177.7
0,2972,2973,251.0
0,2973,3887,199.8
0,3887,2974,260.9
0,2974,2975,297.7
0,2975,2976,348.4
0,2976,2977,216.2
0,2977,2978,151.7
0,2978,2979,377.2
0,2979,2980,320.9
0,2980,3245,255.8
0,3245,3246,175.9
0,3246,3247,179.6
0,3247,3248,278.1
0,3248,3249,140.5
0,3249,3250,224.3
0,3250,3251,169.3
0,3251,3252,303.8
0,3252,3253,228.3
0,3253,3254,217.4
0,3254,3255,167.0
0,3255,3256,180.1
0,3256,3257,276.0
0,3257,5712,463.1
0,5712,3406,404.5
0,3406,3407,470.3
0,3407,2927,343.3
0,2927,2928,342.6
0,2928,2943,712.2
0,2943,2944,173.4
0,2944,2934,331.6
0,2934,2930,293.4
0,2930,2931,253.3
0,2931,2932,215.6
0,2932,2794,154.9
0,2794,4313,337.8
0,4313,5197,228.4
0,5197,2795,303.3
0,2795,2796,310.2
0,2796,2947,289.3
0,2947,2948,332.7
0,2948,2949,327.2
0,5709,1600,269.9
0,1600,5131,258.7
0,5131,1601,391.1
0,1601,1611,289.0
0,1611,1612,241.9
0,1612,1613,259.8
0,1613,1614,219.6
0,1614,1615,419.4
0,1615,4958,229.8
0,4958,2425,237.1
0,2425,2426,401.9
0,2426,2438,327.2
0,2438,2439,403.3
0,2439,2440,341.8
0,2440,2441,229.9
0,2441,2442,146.1
0,2442,2779,280.7
0,2779,2780,179.9
0,2780,2097,270.6
0,2097,2098,201.2
0,2098,2099,248.8
0,2099,2100,367.3
0,2100,2101,399.3
0,2101,2102,316.0
0,2102,2103,274.5
0,2103,2104,299.7
0,2104,2107,221.3
0,2107,2108,274.3
0,4974,4973,319.1
0,4973,4381,251.9
0,4381,4975,324.6
0,4975,4972,223.9
0,4972,1245,149.8
0,1245,1246,169.4
0,1246,1247,308.7
0,1247,1249,198.4
0,1249,1250,197.1
0,1250,1251,202.2
0,1251,1252,194.9
0,1252,5991,200.8
0,5991,1060,210.1
0,1060,1061,200.3
0,1061,1062,197.0
0,1062,1063,182.5
0,1063,1064,206.6
0,1064,1065,191.3
0,1065,4775,117.3
0,4775,4930,446.9
0,4930,4776,227.9
0,4776,1283,1026.2
0,1283,1284,192.2
0,1284,1285,200.2
0,1285,1286,207.3
0,1286,1287,224.3
0,1287,1288,207.8
0,1288,1289,187.2
0,1289,1290,225.9
0,1290,1291,168.8
0,1291,1292,246.6
0,1292,1293,242.2
0,1293,1568,342.6
0,1568,1569,267.6
0,1569,1578,874.7
0,1578,1579,330.5
0,1579,1580,193.0
0,1580,1581,195.8
0,1581,3905,265.6
0,3905,1585,175.9
0,1585,4982,256.2
0,4982,3908,255.2
0,3908,1586,219.3
0,1586,2090,327.7
0,2090,2091,352.3
0,2091,2092,402.1
0,2092,2093,342.7
0,2093,2094,343.6
0,2094,4817,313.3
0,4817,2096,347.1
0,2096,5070,243.9
0,5070,3453,331.1
0,3453,3454,274.1
0,3454,3455,335.2
0,3455,3456,220.2
0,3456,3457,240.0
0,3457,3458,297.7
0,3458,3459,285.2
0,3459,3487,342.8
0,3487,3488,386.0
0,3488,3489,411.6
0,3489,553,249.2
0,553,3067,590.4
0,3067,3068,178.5
0,3068,3069,204.5
0,3069,3070,224.1
0,3070,3465,256.1
0,3465,3466,201.9
0,3466,3467,283.8
0,3467,3435,324.7
0,3435,3934,491.0
0,3934,4079,430.6
0,4079,4193,261.1
0,4193,4553,301.2
0,4553,3951,194.2
0,3951,3952,287.0
0,3952,3956,288.6
0,3956,3957,284.6
0,4974,4973,305.4
0,4973,4381,251.8
0,4381,4975,324.6
0,4975,4972,223.9
0,4972,1245,149.8
0,1245,1246,169.4
0,1246,1247,308.7
0,1247,1257,298.4
0,1257,1258,202.4
0,1258,1259,99.6
0,1259,1269,183.4
0,1269,1270,214.8
0,1270,1271,204.3
0,1271,1272,195.4
0,1272,1062,195.1
0,1062,1063,182.5
0,1063,1064,206.6
0,1064,1065,191.3
0,1065,4775,117.3
0,4775,4930,449.6
0,4930,4776,227.9
0,4776,1283,1026.4
0,1283,1284,192.2
0,1284,1285,200.2
0,1285,1286,207.3
0,1286,1287,224.3
0,1287,1288,207.8
0,1288,1289,187.2
0,1289,1290,225.9
0,1290,1291,168.8
0,1291,1292,246.6
0,1292,1293,242.2
0,1293,1568,342.7
0,1568,1569,267.6
0,1569,4212,474.3
0,4212,1599,281.6
0,1599,1600,184.5
0,1600,5131,258.7
0,5131,1632,260.0
0,1632,1601,131.0
0,1601,1611,290.1
0,1611,1612,242.0
0,1612,1613,259.4
0,1613,1614,219.7
0,1614,1615,418.6
0,1615,4958,230.1
0,4958,2425,237.1
0,2425,2426,401.3
0,2426,2438,327.0
0,2438,2439,403.7
0,2439,2440,341.5
0,2440,2441,229.9
0,2441,2442,146.0
0,2442,2341,430.8
0,2341,2221,446.3
0,2221,2222,454.3
0,2222,4833,328.5
0,4833,2223,262.9
0,2223,2225,471.6
0,2225,6159,593.2
0,6159,2634,238.2
0,2634,2635,254.8
0,2635,2636,129.0
0,2636,2637,312.5
0,2637,4959,209.8
0,4959,2638,347.7
0,2638,2639,210.0
0,2639,2640,307.5
0,2640,2641,226.6
0,2641,2642,217.9
0,2642,2646,256.0
0,2646,6242,190.5
0,6242,4890,268.9
0,4890,3206,282.1
0,3206,3207,215.5
0,3207,6092,579.9
0,6092,2844,342.9
0,2844,4900,176.4
0,4900,2845,381.2
0,2845,2846,277.4
0,2846,2847,274.7
0,2847,2848,226.8
0,2848,5988,847.3
0,5988,2920,438.6
0,2920,2921,305.4
0,2921,2922,258.9
0,2922,2923,199.7
0,2923,2933,291.3
0,2933,2935,220.5
0,2935,2936,418.7
0,2936,2945,299.1
0,2945,2925,385.1
0,2925,2926,236.4
0,2926,3408,547.3
0,3408,3409,209.0
0,3409,2989,220.4
0,2989,3258,433.8
0,3258,3259,237.4
0,3259,3260,220.2
0,3260,3261,249.2
0,3261,3262,163.6
0,3262,3269,368.6
0,3269,3270,280.2
0,3270,3297,439.4
0,3297,4969,348.5
0,4969,4970,147.8
0,4970,3298,396.4
0,3298,3292,256.3
0,3292,4537,324.3
0,4537,3293,374.4
0,3293,4877,1034.0
0,4877,5501,1864.1
0,5501,5301,252.5
0,5301,5302,615.6
0,5302,5303,157.9
0,4610,4490,139.5
0,4490,4830,227.8
0,4830,4662,238.5
0,4662,1422,226.2
0,1422,5938,788.5
0,5938,1191,669.9
0,1191,1192,377.0
0,1192,4190,421.3
0,4190,1426,105.8
0,1426,1427,195.9
0,1427,1428,368.7
0,1428,5146,356.4
0,5146,1412,305.6
0,1412,1430,276.9
0,1430,1431,23.8
0,1431,1386,1239.8
0,1386,1387,331.6
0,1387,1389,317.9
0,1389,1390,292.7
0,1390,1391,302.9
0,1391,1392,190.6
0,1392,1393,330.5
0,1393,1394,293.1
0,1394,1395,365.8
0,1395,1400,528.4
0,1400,1432,283.9
0,1432,1433,208.0
0,1433,1446,396.0
0,1446,1681,477.4
0,1681,1682,247.4
0,1682,1683,206.2
0,1683,1684,373.7
0,1684,1685,234.8
0,1685,1686,408.8
0,1686,3110,268.4
0,3110,3111,244.3
0,3111,3112,379.4
0,3112,3113,324.7
0,3113,3114,380.4
0,3114,3115,373.7
0,3115,3116,434.4
0,3116,3117,318.6
0,3117,3118,273.4
0,3118,3119,292.6
0,3119,3120,207.7
0,3120,5034,308.4
0,5034,3121,240.2
0,3121,3122,351.9
0,3122,3123,208.4
0,3123,3124,370.7
0,3124,3125,242.9
0,3125,3126,304.0
0,3126,3127,328.3
0,3127,3128,193.4
0,3128,3129,271.0
0,3129,3130,268.3
0,3130,3131,204.6
0,3131,3132,352.3
0,3132,3133,203.8
0,3133,3134,438.9
0,3134,3135,277.6
0,3135,3136,190.7
0,3136,3138,390.7
0,3138,3139,358.9
0,3139,3140,237.7
0,3140,3141,205.2
0,3141,3142,157.2
0,3142,6512,410.3
0,6512,3464,214.0
0,3464,3465,259.5
0,3465,3466,180.9
0,3466,3467,283.6
0,3467,3435,321.7
0,3435,3934,480.0
0,3934,4079,430.7
0,4079,4193,260.5
0,4193,3978,360.6
0,3978,4508,229.0
0,4508,3984,283.2
0,3984,3985,321.3
0,3985,3986,174.8
0,3986,3987,197.3
0,3987,3962,248.7
0,3962,3963,329.3
0,3963,3940,206.8
0,3940,3941,170.0
0,3941,3942,223.1
0,3942,3873,380.5
0,3873,2217,339.3
0,2217,2218,317.4
0,2218,3874,318.4
0,3874,3875,209.3
0,3875,2219,288.0
0,2219,3876,434.7
0,4135,4136,292.6
0,4136,583,281.4
0,583,4837,821.4
0,4837,836,268.5
0,836,834,190.3
0,834,988,582.5
0,988,990,307.0
0,990,992,205.8
0,992,994,219.6
0,994,998,523.8
0,998,4322,267.9
0,4322,1086,240.0
0,1086,1084,402.9
0,1084,1098,340.3
0,1098,1106,521.4
0,1106,1107,352.1
0,1107,1108,221.8
0,1108,4843,408.0
0,4843,4776,373.7
0,4776,1283,1026.0
0,1283,1284,192.4
0,1284,1533,215.6
0,1533,1534,209.3
0,1534,1501,191.0
0,1501,1503,325.7
0,1503,1504,214.1
0,1504,1505,208.3
0,1505,1506,187.6
0,1506,1507,210.7
0,1507,1508,218.5
0,1508,1512,204.1
0,1512,1513,195.9
0,1513,1514,115.5
0,1514,1515,300.6
0,1515,1516,250.6
0,1516,1517,164.6
0,1517,1520,261.3
0,1520,1521,116.5
0,1521,3618,315.5
0,3618,3619,128.0
0,3619,3620,281.3
0,3620,3621,208.7
0,3621,3622,587.9
0,3622,4828,222.2
0,4828,3623,195.6
0,3623,3624,249.8
0,3624,3625,187.0
0,3625,3626,198.0
0,3626,3627,260.9
0,3627,3633,154.8
0,3633,3628,259.6
0,3628,3678,282.9
0,3678,3784,200.8
0,3784,3679,202.1
0,3679,2458,183.5
0,2458,2459,173.8
0,2459,2460,191.9
0,2460,3783,303.6
0,3783,3702,205.6
0,3702,3703,198.4
0,3703,3704,207.4
0,3704,3824,465.6
0,3824,3825,232.2
0,3825,3826,196.7
0,3826,3827,256.9
0,3827,3828,452.0
0,3828,2108,269.7
0,2108,2110,522.5
0,2110,2969,628.0
0,2969,2970,228.7
0,2970,3890,263.4
0,3890,3980,299.7
0,3980,3981,322.4
0,3981,3983,615.2
0,3983,3951,393.3
0,3951,3952,287.0
0,4135,4136,292.0
0,4136,849,798.7
0,849,4837,336.2
0,4837,836,268.5
0,836,834,190.3
0,834,988,566.7
0,988,990,307.0
0,990,992,205.9
0,992,994,219.5
0,994,996,317.4
0,996,998,206.5
0,998,1000,192.1
0,1000,4322,75.8
0,4322,4931,165.2
0,4931,4932,146.4
0,4932,1004,198.3
0,1004,1034,210.9
0,1034,1059,288.3
0,1059,1060,219.1
0,1060,1061,200.2
0,1061,1062,196.9
0,1062,1063,182.5
0,1063,1064,206.7
0,1064,1065,191.3
0,1065,4775,117.4
0,4775,4930,451.9
0,4930,4776,228.0
0,4776,1283,1025.9
0,1283,1284,192.2
0,1284,1285,200.2
0,1285,1286,207.3
0,1286,1287,224.3
0,1287,1288,207.8
0,1288,1289,187.2
0,1289,1290,225.9
0,1290,1291,168.8
0,1291,1292,246.6
0,1292,1293,242.2
0,1293,1568,343.2
0,1568,1569,267.6
0,1569,4912,764.9
0,4912,4213,291.8
0,4213,1571,232.2
0,1571,1572,248.0
0,1572,1573,402.8
0,1573,1574,147.3
0,1574,1575,243.2
0,1575,3733,226.5
0,3733,3734,272.8
0,3734,3735,327.4
0,3735,3724,458.6
0,3724,3725,220.6
0,3725,3726,328.5
0,3726,3736,197.0
0,3736,3663,480.0
0,3663,3877,489.1
0,3877,3878,188.0
0,3878,3822,277.7
0,3822,3830,283.7
0,3830,3831,176.0
0,3831,3832,231.4
0,3832,4031,229.6
0,4031,4533,378.4
0,4533,4528,190.2
0,4528,4532,240.6
0,4532,4530,152.5
0,4530,4529,148.2
0,4529,4531,208.6
0,4531,4534,206.4
0,4534,4068,161.7
0,4068,4069,326.5
0,4069,4070,325.7
0,4070,4053,232.2
0,4053,4054,216.9
0,4054,4055,206.5
0,4055,4577,308.3
0,4577,6314,200.0
0,6314,3176,201.8
0,3176,4041,1250.2
0,4041,4763,154.7
0,1713,1753,235.9
0,1753,1754,301.6
0,1754,1755,195.1
0,1755,1756,204.5
0,1756,1757,296.7
0,1757,1955,265.8
0,1955,1956,206.4
0,1956,1957,622.3
0,1957,5132,250.6
0,5132,1958,282.7
0,1958,1971,271.0
0,1971,1972,185.1
0,1972,1973,378.6
0,1973,1974,172.8
0,1974,1975,305.9
0,1975,1976,346.8
0,1976,1977,321.1
0,1977,2001,312.4
0,2001,2002,326.2
0,2002,2003,380.5
0,2003,2004,313.6
0,2004,2005,288.5
0,2005,2006,304.5
0,2006,2007,293.9
0,2007,2008,346.9
0,2008,2616,315.4
0,2616,2617,322.5
0,2617,2618,243.9
0,2618,6142,189.0
0,6142,2619,335.7
0,2619,2538,204.7
0,2538,2540,276.9
0,2540,2541,207.5
0,2541,2542,230.6
0,2542,2543,238.7
0,2543,2544,198.0
0,2544,6197,432.6
0,6197,2546,576.5
0,2546,2547,160.8
0,2547,3215,604.7
0,3215,3216,193.7
0,3216,3525,290.9
0,3525,3528,183.3
0,3528,3527,231.8
0,3527,3529,211.9
0,3529,3530,347.3
0,3530,3030,193.1
0,3030,3031,370.0
0,3031,3032,235.9
0,3032,3033,187.2
0,3033,3034,222.6
0,3034,3035,245.3
0,3035,2184,280.5
0,2184,2185,316.5
0,2185,2186,206.7
0,2186,3885,446.4
0,3885,2187,242.9
0,2187,5643,483.2
0,5643,3463,270.4
0,3463,3464,397.3
0,3464,3465,259.6
0,3465,3466,201.1
0,3466,3467,283.8
0,3467,3435,324.8
0,3435,3934,491.0
0,3934,4079,430.6
0,4079,4193,261.3
0,4193,4080,302.4
0,4080,3935,265.0
0,3935,4078,262.0
0,4078,3936,376.3
0,3936,3937,354.1
0,3937,3379,204.1
0,3379,3380,181.4
0,3380,3368,520.8
0,3368,2114,214.4
0,2114,2115,203.1
0,2115,2116,216.3
0,2116,2117,353.2
0,5205,5206,564.9
0,5206,5312,1531.9
0,5312,2280,509.6
0,2280,5212,1991.3
0,5212,2283,816.2
0,2283,2284,461.7
0,2284,5213,217.1
0,5213,2285,703.1
0,2285,5214,384.4
0,5214,4469,329.3
0,4469,4468,321.6
0,4468,2286,210.2
0,2286,2287,321.2
0,2287,2288,194.6
0,2288,2289,139.5
0,2289,2290,374.0
0,2290,2292,481.7
0,2292,2293,451.8
0,2293,2294,218.0
0,2294,2295,500.6
0,2295,2296,412.8
0,2296,2298,335.0
0,2298,2299,347.7
0,2299,2300,257.2
0,2300,2302,335.2
0,2302,2303,235.6
0,2303,2304,222.7
0,2304,2305,233.7
0,2305,2306,186.8
0,2306,2307,290.0
0,2307,2308,350.8
0,2308,2309,397.0
0,2309,2310,316.2
0,2310,2311,374.9
0,2311,2312,199.9
0,2312,2313,220.9
0,2313,2314,199.5
0,2314,6194,667.0
0,6194,2546,530.8
0,2546,2547,161.1
0,2547,2548,374.6
0,2548,3215,230.1
0,3215,3216,193.7
0,3216,2549,214.4
0,2549,3217,198.2
0,3217,3219,360.8
0,3219,3221,201.5
0,3221,3223,247.3
0,3223,3225,233.4
0,3225,3227,307.9
0,3227,3228,233.5
0,3228,3230,414.7
0,3230,3231,182.9
0,3231,3232,198.6
0,3232,3233,296.1
0,3233,4207,304.6
0,4207,3241,332.3
0,3241,4908,920.9
0,4908,4010,431.7
0,4010,4012,434.5
0,4012,3912,404.8
0,3912,4015,437.4
0,4015,4201,405.3
0,4201,4017,408.2
0,4017,3914,408.8
0,3914,4758,734.2
0,4586,1568,341.5
0,1568,1569,267.7
0,1569,4912,764.9
0,4912,4213,292.3
0,4213,1571,232.3
0,1571,1572,248.0
0,1572,1573,402.8
0,1573,1574,147.3
0,1574,2088,451.8
0,2088,2089,320.6
0,2089,2090,222.1
0,2090,2091,352.3
0,2091,1480,340.5
0,1480,1481,214.0
0,1481,1482,329.6
0,1482,1483,270.5
0,1483,3691,185.0
0,3691,2457,128.9
0,2457,2458,185.2
0,2458,2459,173.8
0,2459,2460,192.0
0,2460,3783,302.4
0,3783,3697,187.3
0,3697,3698,262.5
0,3698,3699,253.8
0,3699,3700,223.4
0,3700,3808,214.3
0,3808,3238,467.1
0,3238,3239,227.2
0,3239,3240,204.2
0,3240,3183,487.2
0,3183,3184,272.5
0,3184,3185,284.6
0,3185,3186,168.2
0,3186,4865,471.6
0,4865,3189,341.3
0,3189,3191,198.0
0,3191,3193,282.4
0,3193,3195,206.4
0,3195,3197,200.5
0,3197,3199,234.8
0,3199,3526,305.3
0,3526,2786,179.6
0,2786,2787,313.7
0,2787,2788,288.7
0,2788,2789,251.8
0,2789,2790,132.4
0,2790,2791,212.9
0,2791,2792,193.6
0,2792,2793,507.5
0,2793,2794,173.0
0,2794,4313,337.9
0,4313,5197,228.3
0,5197,2795,303.3
0,2795,2796,310.2
0,2796,2947,289.8
0,2947,2948,332.5
0,2948,2949,327.2
0,2949,2950,338.2
